,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
126,63,171.273,0,0.739,0.474,9,-5.803,1,0.0915,0.0584,2.93e-06,0.128,0.513,96.03,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,70,233.265,0,0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.33,134.953,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,73,114.477,0,0.673,0.75,9,-5.831,1,0.0655,0.0155,5.44e-06,0.348,0.708,105.848,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,71,230.322,0,0.63,0.432,1,-6.721,1,0.0357,0.551,5.84e-06,0.0962,0.343,87.959,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,70,232.966,0,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,71,233.16,0,0.65,0.879,9,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,70,208.589,0,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,67,236.488,0,0.495,0.974,7,-0.947,0,0.282,0.0349,0.0,0.44,0.763,102.077,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,78,189.413,0,0.766,0.651,5,-3.546,0,0.0952,0.211,2.51e-06,0.144,0.488,121.995,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,69,239.469,0,0.685,0.713,6,-4.705,0,0.266,0.179,0.0,0.377,0.301,95.092,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,72,231.893,0,0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,73,214.253,0,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
